author,communityId,publications
Marirosa Mora,4884,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
M. Scarselli,4885,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Immaculada Margarit y Ros,4886,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
J. Peterson,4887,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Christopher Hauser,4888,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Jaideep P. Sundaram,4889,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
W. Nelson,4890,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
R. Madupu,4891,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
L. Brinkac,4892,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
R. Dodson,4893,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
M. J. Rosovitz,4894,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
S. Sullivan,4895,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Sean C. Daugherty,4896,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
J. Selengut,4897,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome"".; InterPro: the integrative protein signature database"
M. Gwinn,4898,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Liwei Zhou,4899,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Nikhat Zafar,4900,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
H. Khouri,4901,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
D. Radune,4902,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
George Dimitrov,4903,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Kisha L. Watkins,4904,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
K. O'Connor,4905,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
Shannon Smith,4906,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
T. Utterback,4907,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
C. Rubens,4908,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
G. Grandi,4909,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
L. Madoff,4910,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
D. Kasper,4911,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
J. Telford,4912,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
M. Wessels,4913,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
R. Rappuoli,4914,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
C. Fraser,4915,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome"".; Mutation of a mutL homolog in hereditary colon cancer."
M. Réjou‐Méchain,4916,Improved allometric models to estimate the aboveground biomass of tropical trees
A. Búrquez,4917,Improved allometric models to estimate the aboveground biomass of tropical trees
E. Chidumayo,4918,Improved allometric models to estimate the aboveground biomass of tropical trees
M. Colgan,4919,Improved allometric models to estimate the aboveground biomass of tropical trees
W. Delitti,4920,Improved allometric models to estimate the aboveground biomass of tropical trees
Á. Duque,4921,Improved allometric models to estimate the aboveground biomass of tropical trees
T. Eid,4922,Improved allometric models to estimate the aboveground biomass of tropical trees
P. Fearnside,4923,Improved allometric models to estimate the aboveground biomass of tropical trees
Rosa C. Goodman,4924,Improved allometric models to estimate the aboveground biomass of tropical trees
M. Henry,4925,Improved allometric models to estimate the aboveground biomass of tropical trees
A. Martínez-Yrizar,4926,Improved allometric models to estimate the aboveground biomass of tropical trees
W. A. Mugasha,4927,Improved allometric models to estimate the aboveground biomass of tropical trees
H. Muller‐Landau,4928,Improved allometric models to estimate the aboveground biomass of tropical trees
Maurizio Mencuccini,4929,Improved allometric models to estimate the aboveground biomass of tropical trees
B. Nelson,4930,Improved allometric models to estimate the aboveground biomass of tropical trees
A. Ngomanda,4931,Improved allometric models to estimate the aboveground biomass of tropical trees
E. M. Nogueira,4932,Improved allometric models to estimate the aboveground biomass of tropical trees
E. Ortiz-Malavassi,4933,Improved allometric models to estimate the aboveground biomass of tropical trees
R. Pélissier,4934,Improved allometric models to estimate the aboveground biomass of tropical trees
P. Ploton,4935,Improved allometric models to estimate the aboveground biomass of tropical trees
C. Ryan,4936,Improved allometric models to estimate the aboveground biomass of tropical trees
J. Saldarriaga,4937,Improved allometric models to estimate the aboveground biomass of tropical trees
G. Vieilledent,4938,Improved allometric models to estimate the aboveground biomass of tropical trees
C. Granger,4939,Predictors of hospital mortality in the global registry of acute coronary events.
R. Goldberg,4940,Predictors of hospital mortality in the global registry of acute coronary events.
O. Dabbous,4941,Predictors of hospital mortality in the global registry of acute coronary events.
K. Pieper,4942,Predictors of hospital mortality in the global registry of acute coronary events.
K. Eagle,4943,Predictors of hospital mortality in the global registry of acute coronary events.
C. Cannon,4944,Predictors of hospital mortality in the global registry of acute coronary events.
F. Van de Werf,4945,Predictors of hospital mortality in the global registry of acute coronary events.
Á. Avezum,4946,Predictors of hospital mortality in the global registry of acute coronary events.
S. Goodman,4947,Predictors of hospital mortality in the global registry of acute coronary events.
M. Flather,4948,Predictors of hospital mortality in the global registry of acute coronary events.
K. Fox,4949,Predictors of hospital mortality in the global registry of acute coronary events.
Aviroop Biswas,4950,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
P. Oh,4951,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
G. Faulkner,4952,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
R. Bajaj,4953,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
Michael A Silver,4954,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
Marc S Mitchell,4955,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
D. Alter,4956,"Sedentary Time and Its Association With Risk for Disease Incidence, Mortality, and Hospitalization in Adults"
G. Carpenter,4957,Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps
S. Grossberg,4958,Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps
Natalya Markuzon,4959,Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps
J. Reynolds,4960,Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps
D. B. Rosen,4961,Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps
S. Pao,4962,Major Facilitator Superfamily
I. Paulsen,4963,Major Facilitator Superfamily
M. Saier,4964,Major Facilitator Superfamily
Rein-Lien Hsu,4965,Face detection in color images
M. Abdel-Mottaleb,4966,Face detection in color images
Anil K. Jain,4967,Face detection in color images
R. Becker,4968,The FIRST Survey: Faint Images of the Radio Sky at twenty centimeters
R. White,4969,The FIRST Survey: Faint Images of the Radio Sky at twenty centimeters
D. Helfand,4970,The FIRST Survey: Faint Images of the Radio Sky at twenty centimeters
K. Saxton,4971,Soil Water Characteristic Estimates by Texture and Organic Matter for Hydrologic Solutions
W. Rawls,4972,Soil Water Characteristic Estimates by Texture and Organic Matter for Hydrologic Solutions
Yajun Wang,4973,Efficient influence maximization in social networks
Siyu Yang,4974,Efficient influence maximization in social networks
K. Abromeit,4975,Music Received
R. Dear,4976,Developing an adaptive model of thermal comfort and preference
G. Brager,4977,Developing an adaptive model of thermal comfort and preference
M. Váradi,4978,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
S. Anyango,4979,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
M. Deshpande,4980,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
S. Nair,4981,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Cindy Natassia,4982,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Galabina Yordanova,4983,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
D. Yuan,4984,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Oana Stroe,4985,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Gemma Wood,4986,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Agata Laydon,4987,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Augustin Žídek,4988,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Tim Green,4989,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Kathryn Tunyasuvunakool,4990,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Stig Petersen,4991,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
J. Jumper,4992,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Ellen Clancy,4993,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Richard Green,4994,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Ankur Vora,4995,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Mira Lutfi,4996,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Michael Figurnov,4997,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
A. Cowie,4998,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Nicole Hobbs,4999,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
Pushmeet Kohli,5000,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
G. Kleywegt,5001,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
D. Hassabis,5002,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models; Clinically applicable deep learning for diagnosis and referral in retinal disease
S. Velankar,5003,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models
R. Baertsch,5004,The UCSC Genome Browser Database; The UCSC Genome Browser Database: update 2006
M. Diekhans,5005,The UCSC Genome Browser Database; The UCSC Genome Browser database: update 2011; The UCSC Genome Browser Database: update 2006
Y. Lu,5006,The UCSC Genome Browser Database
M. Schwartz,5007,The UCSC Genome Browser Database
D. Thomas,5008,The UCSC Genome Browser Database; The UCSC Genome Browser Database: update 2006
R. Weber,5009,The UCSC Genome Browser Database; The UCSC Genome Browser Database: update 2006
R. Parisi,5010,Global epidemiology of psoriasis: a systematic review of incidence and prevalence.
C. Griffiths,5011,Global epidemiology of psoriasis: a systematic review of incidence and prevalence.
D. Ashcroft,5012,Global epidemiology of psoriasis: a systematic review of incidence and prevalence.
W. Wiersma,5013,Research Methods in Education: An Introduction
D. Nelson,5014,"The University of South Florida free association, rhyme, and word fragment norms"
C. McEvoy,5015,"The University of South Florida free association, rhyme, and word fragment norms"
Thomas A. Schreiber,5016,"The University of South Florida free association, rhyme, and word fragment norms"
A. de Cheveigné,5017,"YIN, a fundamental frequency estimator for speech and music."
Hideki Kawahara,5018,"YIN, a fundamental frequency estimator for speech and music."
T. Lowe,5019,tRNAscan-SE On-line: integrating search and context for analysis of transfer RNA genes
Patricia P. Chan,5020,tRNAscan-SE On-line: integrating search and context for analysis of transfer RNA genes
Jianguo Zhang,5021,Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study
Marcin Marszalek,5022,Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study
C. Merz,5023,UCI Repository of Machine Learning Databases
A. Demirguc-Kunt,5024,Financial and Legal Constraints to Growth: Does Firm Size Matter?
Vojislav Maksimovic,5025,Financial and Legal Constraints to Growth: Does Firm Size Matter?
L. D. Ward,5026,"HaploReg: a resource for exploring chromatin states, conservation, and regulatory motif alterations within sets of genetically linked variants"
P. Siguier,5027,ISfinder: the reference centre for bacterial insertion sequences
Jocelyne Pérochon,5028,ISfinder: the reference centre for bacterial insertion sequences
L. Lestrade,5029,ISfinder: the reference centre for bacterial insertion sequences
J. Mahillon,5030,ISfinder: the reference centre for bacterial insertion sequences
M. Chandler,5031,ISfinder: the reference centre for bacterial insertion sequences
Jiawei Han,5032,"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
Behzad Mortazavi-Asl,5033,"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
Helen Pinto,5034,"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
Qiming Chen,5035,"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
M. Hsu,5036,"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
A. Elmagarmid,5037,Duplicate Record Detection: A Survey
Panagiotis G. Ipeirotis,5038,Duplicate Record Detection: A Survey
V. Verykios,5039,Duplicate Record Detection: A Survey
T. West,5040,Soil organic carbon sequestration rates by tillage and crop rotation : A global data analysis
W. Post,5041,Soil organic carbon sequestration rates by tillage and crop rotation : A global data analysis
S. Clément,5042,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
O. Schauman,5043,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
T. Graham,5044,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
F. Maggioni,5045,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
S. Evans-Lacko,5046,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
Ņ. Bezborodovs,5047,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
C. Morgan,5048,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
N. Rüsch,5049,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
June S L Brown,5050,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
G. Thornicroft,5051,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies
G. Block,5052,A data-based approach to diet questionnaire design and testing.
A. Hartman,5053,A data-based approach to diet questionnaire design and testing.
C. Dresser,5054,A data-based approach to diet questionnaire design and testing.
M. Carroll,5055,A data-based approach to diet questionnaire design and testing.
J. Gannon,5056,A data-based approach to diet questionnaire design and testing.
L. Gardner,5057,A data-based approach to diet questionnaire design and testing.
K. Kenthapadi,5058,"Our Data, Ourselves: Privacy Via Distributed Noise Generation"
Ilya Mironov,5059,"Our Data, Ourselves: Privacy Via Distributed Noise Generation"
M. Naor,5060,"Our Data, Ourselves: Privacy Via Distributed Noise Generation; Optimal aggregation algorithms for middleware"
C. Iglesias,5061,Updated Opal Opacities
F. Rogers,5062,Updated Opal Opacities
Douglas Comer,5063,Ubiquitous B-Tree
M. Richter,5064,JSpeciesWS: a web server for prokaryotic species circumscription based on pairwise genome comparison
R. Rosselló-Móra,5065,JSpeciesWS: a web server for prokaryotic species circumscription based on pairwise genome comparison; Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences
R. Blackman,5066,Aphids on the World's Crops: An Identification and Information Guide
V. Eastop,5067,Aphids on the World's Crops: An Identification and Information Guide
D. Tranchemontagne,5068,"Secondary building units, nets and bonding in the chemistry of metal-organic frameworks."
Jose L. Mendoza‐Cortes,5069,"Secondary building units, nets and bonding in the chemistry of metal-organic frameworks."
M. O'Keeffe,5070,"Secondary building units, nets and bonding in the chemistry of metal-organic frameworks.; The Reticular Chemistry Structure Resource (RCSR) database of, and symbols for, crystal nets.; Reticular chemistry: occurrence and taxonomy of nets and grammar for the design of frameworks."
O. Yaghi,5071,"Secondary building units, nets and bonding in the chemistry of metal-organic frameworks.; The Reticular Chemistry Structure Resource (RCSR) database of, and symbols for, crystal nets.; Reticular chemistry: occurrence and taxonomy of nets and grammar for the design of frameworks."
F. Burkhardt,5072,A database of German emotional speech
A. Paeschke,5073,A database of German emotional speech
M. Rolfes,5074,A database of German emotional speech
W. Sendlmeier,5075,A database of German emotional speech
Benjamin Weiss,5076,A database of German emotional speech
E. Pearce,5077,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
G. Brent,5078,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
Rosalind S. Brown,5079,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
Herbert Chen,5080,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
C. Dosiou,5081,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
W. Grobman,5082,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
P. Laurberg,5083,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
J. Lazarus,5084,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
R. Peeters,5085,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
Scott A. Sullivan,5086,2017 Guidelines of the American Thyroid Association for the Diagnosis and Management of Thyroid Disease During Pregnancy and the Postpartum.
G. Ostapowicz,5087,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
R. Fontana,5088,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Frank V. Schioødt,5089,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
A. Larson,5090,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
T. Davern,5091,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Steven‐Huy B. Han,5092,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
T. Mccashland,5093,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
A. Shakil,5094,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
J. Hay,5095,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
L. Hynan,5096,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
J. Crippin,5097,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
A. Blei,5098,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Grace Samuel,5099,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
J. Reisch,5100,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
William M. Lee,5101,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Raj Santyanarayana,5102,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
C. Caldwell,5103,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
L. Shick,5104,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
N. Bass,5105,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
S. Rouillard,5106,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
E. Atillasoy,5107,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
S. Flamm,5108,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
K. Benner,5109,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
H. Rosen,5110,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Paul Martin,5111,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
R. Stribling,5112,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
E. Schiff,5113,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
Maria Torres,5114,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
V. Navarro,5115,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
B. McGuire,5116,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
R. Chung,5117,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
D. Abraczinskas,5118,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
J. Dienstag,5119,Results of a Prospective Study of Acute Liver Failure at 17 Tertiary Care Centers in the United States
K. Jolley,5120,"BIGSdb: Scalable analysis of bacterial genome variation at the population level; Open-access bacterial population genomics: BIGSdb software, the PubMLST.org website and their applications"
M. Maiden,5121,"BIGSdb: Scalable analysis of bacterial genome variation at the population level; Open-access bacterial population genomics: BIGSdb software, the PubMLST.org website and their applications"
K. Desalvo,5122,Mortality prediction with a single general self-rated health question
Nicole Bloser,5123,Mortality prediction with a single general self-rated health question
I. Shindyalov,5124,Protein structure alignment by incremental combinatorial extension (CE) of the optimal path.
P. Bourne,5125,Protein structure alignment by incremental combinatorial extension (CE) of the optimal path.
Wolfgang Reisig,5126,Petri Nets
B. Giardine,5127,Galaxy: a platform for interactive large-scale genome analysis.; The UCSC Genome Browser database: update 2011
C. Riemer,5128,Galaxy: a platform for interactive large-scale genome analysis.
R. Hardison,5129,Galaxy: a platform for interactive large-scale genome analysis.
Richard Burhans,5130,Galaxy: a platform for interactive large-scale genome analysis.
L. Elnitski,5131,Galaxy: a platform for interactive large-scale genome analysis.
P. Shah,5132,Galaxy: a platform for interactive large-scale genome analysis.
Yi Zhang,5133,Galaxy: a platform for interactive large-scale genome analysis.
Daniel J. Blankenberg,5134,Galaxy: a platform for interactive large-scale genome analysis.
I. Albert,5135,Galaxy: a platform for interactive large-scale genome analysis.
James Taylor,5136,Galaxy: a platform for interactive large-scale genome analysis.
A. Nekrutenko,5137,Galaxy: a platform for interactive large-scale genome analysis.
S. Cosgrove,5138,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
G. Sakoulas,5139,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
E. Perencevich,5140,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
M. Schwaber,5141,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
A. Karchmer,5142,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
Y. Carmeli,5143,Comparison of mortality associated with methicillin-resistant and methicillin-susceptible Staphylococcus aureus bacteremia: a meta-analysis.
B. Lehner,5144,"Development and validation of a global database of lakes, reservoirs and wetlands"
P. Döll,5145,"Development and validation of a global database of lakes, reservoirs and wetlands"
M. Fowler,5146,Patterns of Enterprise Application Architecture
M. Furuse,5147,Claudin-1 and -2: Novel Integral Membrane Proteins Localizing at Tight Junctions with No Sequence Similarity to Occludin
Kohji Fujita,5148,Claudin-1 and -2: Novel Integral Membrane Proteins Localizing at Tight Junctions with No Sequence Similarity to Occludin
T. Hiiragi,5149,Claudin-1 and -2: Novel Integral Membrane Proteins Localizing at Tight Junctions with No Sequence Similarity to Occludin
K. Fujimoto,5150,Claudin-1 and -2: Novel Integral Membrane Proteins Localizing at Tight Junctions with No Sequence Similarity to Occludin
S. Tsukita,5151,Claudin-1 and -2: Novel Integral Membrane Proteins Localizing at Tight Junctions with No Sequence Similarity to Occludin
D. Pearce,5152,The aurora experimental framework for the performance evaluation of speech recognition systems under noisy conditions
H. Hirsch,5153,The aurora experimental framework for the performance evaluation of speech recognition systems under noisy conditions
Ronald Fagin,5154,Optimal aggregation algorithms for middleware
A. Lotem,5155,Optimal aggregation algorithms for middleware
Stuart C. Shapiro,5156,"Book Reviews: Knowledge Representation: Logical, Philosophical, and Computational Foundations"
L. McLaren,5157,Socioeconomic status and obesity.
J. Bruner,5158,The act of discovery.
Anders Krogh,5159,Hidden Markov models in computational biology. Applications to protein modeling.
Michael Brown,5160,Hidden Markov models in computational biology. Applications to protein modeling.
I. Mian,5161,Hidden Markov models in computational biology. Applications to protein modeling.
Kimmen Sjölander,5162,Hidden Markov models in computational biology. Applications to protein modeling.
David Haussler,5163,Hidden Markov models in computational biology. Applications to protein modeling.
Yoonyoung Jung,5164,EzTaxon: a web-based tool for the identification of prokaryotes based on 16S ribosomal RNA gene sequences.
Myungjin Kim,5165,EzTaxon: a web-based tool for the identification of prokaryotes based on 16S ribosomal RNA gene sequences.
Seil Kim,5166,EzTaxon: a web-based tool for the identification of prokaryotes based on 16S ribosomal RNA gene sequences.
Byung Kwon Kim,5167,EzTaxon: a web-based tool for the identification of prokaryotes based on 16S ribosomal RNA gene sequences.
Y. Lim,5168,EzTaxon: a web-based tool for the identification of prokaryotes based on 16S ribosomal RNA gene sequences.
R. Ng,5169,Efficient and Effective Clustering Methods for Spatial Data Mining
R. Lyons,5170,Cochrane Database of Systematic Reviews
C. J. Date,5171,An Introduction to Database Systems
Issg,5172,100 of the World’s Worst Invasive Alien Species: A Selection From The Global Invasive Species Database
C. Gabriel,5173,Compilation of the Dielectric Properties of Body Tissues at RF and Microwave Frequencies.
S. Lowe,5174,100 of the world's worst invasive alien species. A selection from the global invasive species database
M. Browne,5175,100 of the world's worst invasive alien species. A selection from the global invasive species database
S. Boudjelas,5176,100 of the world's worst invasive alien species. A selection from the global invasive species database
M. D. Poorter,5177,100 of the world's worst invasive alien species. A selection from the global invasive species database
Christopher Olston,5178,Pig latin: a not-so-foreign language for data processing
B. Reed,5179,Pig latin: a not-so-foreign language for data processing
U. Srivastava,5180,Pig latin: a not-so-foreign language for data processing
Ravi Kumar,5181,Pig latin: a not-so-foreign language for data processing
A. Tomkins,5182,Pig latin: a not-so-foreign language for data processing
Tilke Judd,5183,Learning to predict where humans look
F. Durand,5184,Learning to predict where humans look
Nathan P. Podsakoff,5185,Individual- and organizational-level consequences of organizational citizenship behaviors: A meta-analysis.
Steven W. Whiting,5186,Individual- and organizational-level consequences of organizational citizenship behaviors: A meta-analysis.
